¿œΩ√,∆Ú±’±‚ø¬,√÷¥Î«≥º”,∆Ú±’«≥º”
2012-03-29,9.9,12.9,8.5
2012-03-30,11.1,12.8,8.9
2012-03-31,4.5,8.7,3.9
2012-04-01,2.9,9.8,3.5
2012-04-02,7.8,7.9,3.3
2012-04-03,5.3,14.5,6
2012-04-04,7.3,12.4,5.4
2012-04-05,7.3,9.6,4.2
2012-04-06,2.6,10.9,4.7
2012-04-07,2.5,5.8,2.9
2012-04-08,11.5,13.9,8.9
2012-04-09,14.2,10.9,4.8
2012-04-10,14,10.9,4.5
2012-04-11,9,12.5,6.6
2012-04-12,10,9.8,4.9
2012-04-13,10.2,9.8,3.4
2012-04-14,10.7,5.5,2.8
2012-04-15,12.6,6.9,5.4
2012-04-16,12.4,10.7,5.9
2012-04-17,9.7,7.2,3.9
2012-04-18,9.9,3.3,2.2
2012-04-19,10.2,6.2,3.7
2012-04-20,9.8,7.7,5
2012-04-21,10.2,7.8,5
2012-04-22,12,11.4,6.3
2012-04-23,14.7,10.7,6.3
2012-04-24,19.1,7.1,2.6
2012-04-25,15,6.5,3.4
2012-04-26,13.6,10,4.7
2012-04-27,13.6,6.9,3.3
2012-04-28,16.9,10.4,6.3
2012-04-29,16.5,5.3,2.4
2012-04-30,17.5,6.4,3.4
2012-05-01,17.8,5.2,2.2
2012-05-02,13.7,8.5,5.8
2012-05-03,11.8,15.5,7.4
2012-05-04,13.2,11,5.9
2012-05-05,16.6,9.9,4.1
2012-05-06,15,11.2,4.3
2012-05-07,17.5,6.7,3
2012-05-08,15.2,8.5,3.1
2012-05-09,13.7,5,2.2
2012-05-10,10.2,7.4,5.5
2012-05-11,9.3,7.6,5.3
2012-05-12,10.3,5.4,2.5
2012-05-13,13.9,6.7,4.4
2012-05-14,14.2,7.3,3.5
2012-05-15,15.1,7.4,2.9
2012-05-16,17.1,7,3.9
2012-05-17,13.1,11,4.3
2012-05-18,16.6,8.2,3.1
2012-05-19,17.4,8.1,5.1
2012-05-20,17,6.1,3.3
2012-05-21,17.7,6.2,3.8
2012-05-22,17.7,5.7,3.7
2012-05-23,17.7,5.9,3.7
2012-05-24,19.8,7.6,2.6
2012-05-25,17.9,6.9,2.6
2012-05-26,19.6,7.9,3
2012-05-27,19.8,8,3.2
2012-05-28,15,13.7,4.7
2012-05-29,14.7,5.2,2.2
2012-05-30,15.3,3.4,1.6
2012-05-31,15.5,4.3,2.2
2012-06-01,15.5,4.7,2.1
2012-06-02,15.3,4.9,2.8
2012-06-03,16.2,3.7,1.9
2012-06-04,18.1,6.2,4.4
2012-06-05,21,8.8,4.6
2012-06-06,21,10.3,4.8
2012-06-07,20.1,5.9,4.1
2012-06-08,19.6,6.9,4.1
2012-06-09,19.2,11.4,5
2012-06-10,18.8,7.7,2.2
2012-06-11,18.3,2.8,1.4
2012-06-12,18.3,7.7,4.1
2012-06-13,17.2,8.6,5
2012-06-14,17.6,6.9,4.4
2012-06-15,18.3,4.4,1.9
2012-06-16,17.7,10.7,5.1
2012-06-17,20.2,6.8,3.2
2012-06-18,20.6,6.3,4.1
2012-06-19,17.8,10.3,4.9
2012-06-20,17.7,7.9,3.6
2012-06-21,17.9,4.4,2.2
2012-06-22,18.1,4.5,1.8
2012-06-23,19.3,3.3,2
2012-06-24,18.5,6.2,3.3
2012-06-25,17.8,8.6,5.4
2012-06-26,16.4,7.5,5.2
2012-06-27,17,6.7,4.8
2012-06-28,18.2,8.3,5.5
2012-06-29,20.5,4.6,1.6
2012-06-30,20.9,9.6,5.4
2012-07-01,21.4,7.8,3.1
2012-07-02,22.7,6.4,2.9
2012-07-03,21.8,4.4,2
2012-07-04,24,6.8,3.3
2012-07-05,24.1,8.8,3.3
2012-07-06,20.6,17.5,6.6
2012-07-07,18.9,7.7,5.1
2012-07-08,19.5,5,2.4
2012-07-09,20.8,6.2,3.6
2012-07-10,21.1,4,1.8
2012-07-11,21.9,8.5,4.3
2012-07-12,23.2,5.8,2.1
2012-07-13,21.1,6.1,2.7
2012-07-14,21.9,3.7,1.3
2012-07-15,21.6,8.6,3.7
2012-07-16,20.6,3.6,1.2
2012-07-17,20.8,5.2,1.9
2012-07-18,22.2,5.8,3.5
2012-07-19,23.3,9.3,4.6
2012-07-20,25.3,6.7,2.6
2012-07-21,22.1,5.2,2.7
2012-07-22,22.1,3.7,1.8
2012-07-23,25.1,7.3,4.9
2012-07-24,27.7,7.9,3.8
2012-07-25,27.4,6.2,2.5
2012-07-26,27.2,6.4,2.9
2012-07-27,28.3,7.3,3.5
2012-07-28,27.7,4.7,1.5
2012-07-29,26.9,6.3,3.9
2012-07-30,27.6,7.1,4.8
2012-07-31,27.2,5.7,2.4
2012-08-01,26.5,7,3.7
2012-08-02,26.7,4.5,2.1
2012-08-03,26.5,4.4,2.5
2012-08-04,25.8,4.7,2.7
2012-08-05,26.3,5.8,3.2
2012-08-06,25.9,7.8,5
2012-08-07,24.6,7.2,4.4
2012-08-08,24.5,4.5,2.6
2012-08-09,24.6,2.7,1.6
2012-08-10,24.6,3.4,1.8
2012-08-11,25.1,3.8,2.3
2012-08-12,25.4,4.6,2.4
2012-08-13,22.1,9.5,4.7
2012-08-14,24.1,6.5,3.1
2012-08-15,25.2,11.8,7.3
2012-08-16,23.2,10.8,5.1
2012-08-17,24,5.5,2.7
2012-08-18,25.8,6.4,4.2
2012-08-19,26,9.1,6.3
2012-08-20,25.3,8.7,5.8
2012-08-21,25.9,7.9,4.8
2012-08-22,24,10.2,6.1
2012-08-23,21.6,8.2,4.2
2012-08-24,22.2,7.2,3.2
2012-08-25,24.1,4.6,2
2012-08-26,25.2,4.3,2.6
2012-08-27,26.1,5.1,2.7
2012-08-28,25.2,8.8,4
2012-08-29,25,13.4,8.9
2012-08-30,24.1,10.2,3.4
2012-08-31,19.5,12.4,5.1
2012-09-01,20.3,2.9,1.1
2012-09-02,21.7,3.6,1.5
2012-09-03,22.3,3.9,1.4
2012-09-04,23.4,9.1,5.1
2012-09-05,23.2,7.4,5.1
2012-09-06,21.2,5.5,1.9
2012-09-07,21,2.9,1.5
2012-09-08,21,9.9,4.1
2012-09-09,19.7,3.6,1.4
2012-09-10,18.1,7.5,4.4
2012-09-11,19.5,7.2,3.4
2012-09-12,20,3,1.4
2012-09-13,21.6,4.2,2.6
2012-09-14,19.2,9.4,4.8
2012-09-15,17.5,9.8,6.5
2012-09-16,19.1,13.9,9.2
2012-09-17,22.2,12.4,5.2
2012-09-18,20.2,9.4,5.4
2012-09-19,20.7,6.6,3.3
2012-09-20,20,5.6,1.5
2012-09-21,19.2,2.5,1.2
2012-09-22,18.4,6.4,3.2
2012-09-23,18.6,9.1,5.2
2012-09-24,18.1,7.2,4.9
2012-09-25,17.6,6.7,5.2
2012-09-26,17.6,5,3.5
2012-09-27,18.8,6.5,4
2012-09-28,19.8,5.3,2.8
2012-09-29,17.7,8,3.3
2012-09-30,16.6,7,4.2
2012-10-01,16.9,8.4,4.7
2012-10-02,16.1,7.8,5.3
2012-10-03,17.2,7.7,5.8
2012-10-04,17.5,6.8,3.1
2012-10-05,18.7,4.3,1.4
2012-10-06,18.5,9.7,3.1
2012-10-07,15.7,9.3,6.4
2012-10-08,15,6,3.8
2012-10-09,16.6,5.2,2.9
2012-10-10,18,5.5,2.9
2012-10-11,13.3,9.2,5.4
2012-10-12,14.8,5.5,2.3
2012-10-13,17.2,6.5,3.2
2012-10-14,18.7,7.6,4.5
2012-10-15,15.7,8.2,3.9
2012-10-16,16.1,4.2,2
2012-10-17,15.1,8.6,4.7
2012-10-18,11.9,10.4,4.4
2012-10-19,14.3,5.6,2.3
2012-10-20,16.7,9.2,4.9
2012-10-21,17.8,8,3.3
2012-10-22,17.5,12.1,6.2
2012-10-23,11,11.1,3.6
2012-10-24,13.3,6.4,4
2012-10-25,15.5,7.6,2.8
2012-10-26,16.1,4.1,1.3
2012-10-27,16.3,8,3.1
2012-10-28,15.6,10.2,5.2
2012-10-29,12.3,6.8,3.1
2012-10-30,9.2,11.3,5.9
2012-10-31,8.1,6,2.6
2012-11-01,6.1,12.5,6.1
2012-11-02,6.7,8.5,3.6
2012-11-03,9.1,5,2.3
2012-11-04,11.3,5.1,2.6
2012-11-05,14.1,8.2,4.6
2012-11-06,9.4,7.6,4
2012-11-07,11,6.5,2.8
2012-11-08,11.8,4.9,1.8
2012-11-09,11.2,8.2,5.6
2012-11-10,10.7,8.3,5.1
2012-11-11,12.5,13.8,5.4
2012-11-12,10.1,12.7,8.2
2012-11-13,7.8,8.3,5
2012-11-14,4.4,8.7,4.2
2012-11-15,6.3,8.9,4.9
2012-11-16,10,12.6,6.1
2012-11-17,9.3,8.2,3.7
2012-11-18,5.6,7.8,3.8
2012-11-19,8.6,8.3,4.4
2012-11-20,6.5,5.3,2.4
2012-11-21,8.2,6.6,2.8
2012-11-22,9.3,4.3,1.9
2012-11-23,5.3,10.5,6.6
2012-11-24,5.1,8.2,3.6
2012-11-25,8.4,7.6,2.8
2012-11-26,5.4,8.4,3.6
2012-11-27,2.9,5.7,2.6
2012-11-28,8.4,13.2,8
2012-11-29,5.5,5.5,2.4
2012-11-30,3.9,5.2,2.2
2012-12-01,0.3,11.5,6.1
2012-12-02,3.7,6,2.7
2012-12-03,7.4,10.3,4.5
2012-12-04,1.8,10.1,4.9
2012-12-05,2.6,13.2,4.4
2012-12-06,-1.8,9.4,4.6
2012-12-07,1,8.9,3.1
2012-12-08,-1.4,11,6.1
2012-12-09,-3.3,7.1,3.4
2012-12-10,-1.1,8.4,4.1
2012-12-11,1,8.7,6.1
2012-12-12,2.4,6.6,3.3
2012-12-13,5.4,7.5,4.6
2012-12-14,8.1,7.9,3.5
2012-12-15,6.8,12.3,4.6
2012-12-16,6.1,5.3,2.8
2012-12-17,5.8,9.3,3.4
2012-12-18,-1.3,11.1,7
2012-12-19,-1,6.5,3.6
2012-12-20,1.7,6.5,2.6
2012-12-21,4.5,3.2,1.8
2012-12-22,1.7,9.7,5.4
2012-12-23,-2,9.9,3.8
2012-12-24,-3.1,6.1,2.8
2012-12-25,-2.2,7.2,4.2
2012-12-26,-4.1,5.5,2.8
2012-12-27,1.5,5.4,2.9
2012-12-28,3.2,12.5,5.5
2012-12-29,5.4,10.7,5.7
2012-12-30,1.3,9.9,4.3
2012-12-31,-3.1,8.6,4.1
2013-01-01,-0.1,11,4.3
2013-01-02,-2.9,10.5,5.5
2013-01-03,-4.9,6,2.8
2013-01-04,-2.8,5.4,1.9
2013-01-05,1.2,6.2,3
2013-01-06,1.3,6.3,2.1
2013-01-07,1.9,5.8,1.9
2013-01-08,1.5,6,2.2
2013-01-09,-1,7.6,4.2
2013-01-10,-2.6,5.8,2.2
2013-01-11,0.8,4.5,2.4
2013-01-12,4.5,9.4,5.7
2013-01-13,3.6,5.6,2.6
2013-01-14,2.6,13.9,5.8
2013-01-15,-0.6,9.1,3.6
2013-01-16,1.4,8.7,4.3
2013-01-17,-2.7,13,8.6
2013-01-18,0.6,5.2,3
2013-01-19,0.8,4.5,2
2013-01-20,1.9,5.7,3.1
2013-01-21,2.9,5.8,3
2013-01-22,1.8,10.6,7.9
2013-01-23,1.5,8.1,3.5
2013-01-24,3.1,7.9,5.3
2013-01-25,-5.1,7.1,3.4
2013-01-26,-4.9,6.5,3
2013-01-27,-2.8,10.4,4.4
2013-01-28,0.4,7.7,2.4
2013-01-29,2.9,6.4,2.4
2013-01-30,5.1,5.7,2.4
2013-01-31,6.9,3.9,2.2
2013-02-01,9,12.3,4.6
2013-02-02,4.4,7.1,3.7
2013-02-03,1.7,5.9,2.4
2013-02-04,3.7,8.5,4.1
2013-02-05,1.5,4.8,2.1
2013-02-06,3.3,6.3,2.4
2013-02-07,-4.3,9.5,4.3
2013-02-08,-5.5,10,4.5
2013-02-09,-0.4,3.9,1.8
2013-02-10,0.1,8.4,3.4
2013-02-11,-2.8,8.1,4.4
2013-02-12,0.4,6.8,2.9
2013-02-13,0.8,9.9,4
2013-02-14,4.3,6.4,2.6
2013-02-15,-0.3,9.3,5.7
2013-02-16,-2.7,8.5,4.3
2013-02-17,2.1,8.5,3.5
2013-02-18,1.1,10,6.7
2013-02-19,-1.2,6.7,3.2
2013-02-20,-1.1,7.1,3.4
2013-02-21,-1,5.4,2.4
2013-02-22,1.7,7.7,4.1
2013-02-23,1.5,9.6,3.9
2013-02-24,-1.3,8,4.2
2013-02-25,-0.9,4.3,2.4
2013-02-26,4.9,8.2,3.6
2013-02-27,6.5,7.4,3.8
2013-02-28,8.4,7.7,3.6
2013-03-01,5.3,14.4,7.2
2013-03-02,0.5,9.7,5
2013-03-03,2,3.5,1.8
2013-03-04,3.6,5.1,2.1
2013-03-05,7.2,12.2,5.4
2013-03-06,9.4,10.7,4.6
2013-03-07,10.8,12.4,6.7
2013-03-08,12,9.9,5.9
2013-03-09,10.5,12.6,6.1
2013-03-10,2.6,17.2,5.1
2013-03-11,4.3,8.3,3.1
2013-03-12,9.8,9.6,7.3
2013-03-13,2.4,11.4,8.3
2013-03-14,1.4,9.6,4.1
2013-03-15,8.4,8.7,6.4
2013-03-16,7.5,13.3,5.4
2013-03-17,9.6,9,5.8
2013-03-18,9.4,9.6,4
2013-03-19,8,13.9,3.4
2013-03-20,2.8,16.6,7
2013-03-21,3.5,10.2,4.7
2013-03-22,7,11.7,5
2013-03-23,4.5,7.4,3.2
2013-03-24,5.8,9.3,4.4
2013-03-25,2.3,8.8,5.7
2013-03-26,4.5,4.7,2.2
2013-03-27,10.2,8,5
2013-03-28,10.6,11,2.7
2013-03-29,5.2,7.7,4
2013-03-30,5.6,4.8,1.7
2013-03-31,4,6.6,3.6
2013-04-01,8.4,6.5,3
2013-04-02,9.6,8,2.9
2013-04-03,10.2,13.8,5.3
2013-04-04,9.1,10.5,5
2013-04-05,10,5,1.9
2013-04-06,8.1,15.7,6.9
2013-04-07,3.1,17.8,7.9
2013-04-08,9.5,9.7,4.8
2013-04-09,8.7,9.1,5.7
2013-04-10,5.6,8.7,3.3
2013-04-11,6.2,9,4.6
2013-04-12,6.6,6.4,3.2
2013-04-13,10.9,12.1,8.4
2013-04-14,9.6,14.1,7
2013-04-15,9,9.3,3.8
2013-04-16,11.8,13.6,6.1
2013-04-17,5.9,11.2,5.4
2013-04-18,7.3,12.3,5.3
2013-04-19,5.6,7.4,4.2
2013-04-20,4.5,3.8,1.6
2013-04-21,5.2,6.2,2.4
2013-04-22,11,7.4,5.3
2013-04-23,11.3,8.2,5.7
2013-04-24,12.6,9.9,5
2013-04-25,12.7,7.8,3.9
2013-04-26,9.7,6.1,3.4
2013-04-27,12.1,7.6,3.9
2013-04-28,12.9,7.5,3.6
2013-04-29,14.2,12.2,7.8
2013-04-30,11.1,10.2,6.1
2013-05-01,7.6,10.5,5.7
2013-05-02,7.1,2.2,0.8
2013-05-03,10.7,6.1,3
2013-05-04,13.6,6.8,2.4
2013-05-05,17.7,8.3,4.6
2013-05-06,15.6,15.8,6.1
2013-05-07,10.7,6.3,3.2
2013-05-08,13.2,8.5,6
2013-05-09,18.8,8.2,3.9
2013-05-10,14.9,11.1,6.2
2013-05-11,17.6,7,3.8
2013-05-12,20.4,10.6,7.9
2013-05-13,16.2,10.4,3.7
2013-05-14,13.9,5.5,3
2013-05-15,14.1,10.3,3.2
2013-05-16,10.7,7.9,5
2013-05-17,12,3.7,2
2013-05-18,15,6.8,3.9
2013-05-19,13.8,5,1.8
2013-05-20,15.9,8.5,4.4
2013-05-21,18.7,9,4.8
2013-05-22,18.9,7.8,3.3
2013-05-23,17.3,6.1,2.1
2013-05-24,18.3,7.2,5.3
2013-05-25,17.8,6.3,2.4
2013-05-26,17.8,6.3,3.9
2013-05-27,19.2,5.9,3.5
2013-05-28,16.8,6.1,3.7
2013-05-29,19.2,8.5,5.7
2013-05-30,21.7,10.8,5.7
2013-05-31,21.4,7.1,2.1
2013-06-01,18.6,5.6,1.2
2013-06-02,18.1,7.8,1.6
2013-06-03,16.2,2.5,0.2
2013-06-04,18.3,4.6,2.6
2013-06-05,19.1,5.3,1.9
2013-06-06,17.7,5.2,2.2
2013-06-07,17.1,6.2,1.4
2013-06-08,17.4,4.4,0.5
2013-06-09,18.1,4.9,2.2
2013-06-10,18,7.4,4.7
2013-06-11,19.5,6.8,3.4
2013-06-12,21.9,3.4,0.6
2013-06-13,20,3.7,0.4
2013-06-14,19.2,2.6,0.2
2013-06-15,20.7,6.2,2
2013-06-16,20.6,7.2,4.5
2013-06-17,21.9,6.2,2.6
2013-06-18,20.1,4.9,2.1
2013-06-19,19.9,5.5,1
2013-06-20,20.5,4.6,1.7
2013-06-21,20.1,4.6,1.3
2013-06-22,19.1,5.6,1.6
2013-06-23,19.4,5.2,2
2013-06-24,21,3.5,1.5
2013-06-25,20.6,2.9,1.3
2013-06-26,20.9,9.3,4.2
2013-06-27,19.8,5.4,1.4
2013-06-28,20.3,3.2,0.5
2013-06-29,21.3,3.6,0.9
2013-06-30,22.2,3.4,0.9
2013-07-01,23.2,6.6,4.1
2013-07-02,22,10.7,6
2013-07-03,24.1,12.3,7.8
2013-07-04,25.7,10.6,5.3
2013-07-05,21.8,9.5,6
2013-07-06,23.9,8.1,2.4
2013-07-07,23.9,11.6,5.2
2013-07-08,23.8,10.9,9.1
2013-07-09,25.5,12.8,8.9
2013-07-10,26.4,8.7,5
2013-07-11,26.7,8.5,4.9
2013-07-12,25.1,12.4,7.8
2013-07-13,23.3,8.6,2.6
2013-07-14,23.6,10.3,4.9
2013-07-15,22.7,7.5,2.8
2013-07-16,23.4,13,7.6
2013-07-17,24.5,12.8,8.8
2013-07-18,23.8,8.7,3.1
2013-07-19,22.6,5.2,2.1
2013-07-20,24.3,6.2,4.5
2013-07-21,26.1,10.5,6.8
2013-07-22,26.3,8.6,3.6
2013-07-23,26.3,10.7,6.3
2013-07-24,26,13.5,9
2013-07-25,27.1,7.8,5.3
2013-07-26,26.6,6.6,2.8
2013-07-27,25,5,1.7
2013-07-28,24.6,8.2,3.3
2013-07-29,27.1,10.2,4.9
2013-07-30,23.6,3.7,1.1
2013-07-31,25.2,10,4.6
2013-08-01,23.9,4.5,1.4
2013-08-02,22.8,5.7,2.1
2013-08-03,24.7,8.2,3.5
2013-08-04,27.4,6.6,2.8
2013-08-05,27.9,5.3,2.1
2013-08-06,29.1,9,3.2
2013-08-07,29.8,6.3,2.7
2013-08-08,31.3,7.8,4.6
2013-08-09,30.6,9.9,6.4
2013-08-10,30.6,7.4,3.8
2013-08-11,28.1,4.1,1.6
2013-08-12,27.2,5.2,3
2013-08-13,28.5,6.5,2.5
2013-08-14,28.3,6.7,3.1
2013-08-15,28.2,5.9,2.7
2013-08-16,28.3,7.6,4.1
2013-08-17,27.7,8.4,6.5
2013-08-18,28.4,10.1,6.3
2013-08-19,27.8,6,2
2013-08-20,25.9,6.3,2.9
2013-08-21,25.1,5.1,2.7
2013-08-22,25.8,9.5,3.5
2013-08-23,24.2,8.6,3.2
2013-08-24,26,5.3,1.3
2013-08-25,24.7,6.7,2.9
2013-08-26,24.1,3.5,1.6
2013-08-27,24.7,6,1.9
2013-08-28,24.1,5.8,2.5
2013-08-29,25,11.3,6.3
2013-08-30,24.5,8.5,2.9
2013-08-31,21,11,5.2
2013-09-01,21.1,5.5,3.4
2013-09-02,21.6,5.1,3
2013-09-03,20.3,5.5,1.8
2013-09-04,19.1,8.9,5.9
2013-09-05,19.8,6.1,4.3
2013-09-06,18.4,5,2
2013-09-07,19.8,3.9,1.8
2013-09-08,20.4,2.1,0.8
2013-09-09,20.4,2.9,1.3
2013-09-10,21.6,2.4,1
2013-09-11,21.5,5.4,1.7
2013-09-12,22.7,4.7,2.1
2013-09-13,23.5,7.9,5
2013-09-14,24.2,7.5,3.7
2013-09-15,22.8,8.9,5
2013-09-16,19.5,9.8,5.7
2013-09-17,21.4,5.7,3.6
2013-09-18,21.5,4.2,2
2013-09-19,21.4,3.5,2
2013-09-20,22.8,8.1,3.9
2013-09-21,23.5,5.4,1.5
2013-09-22,20,9.2,5.8
2013-09-23,21,4.8,2
2013-09-24,22.3,5,3
2013-09-25,17.7,13,6.2
2013-09-26,16.1,8.1,4
2013-09-27,17.4,3.2,1.5
2013-09-28,19.5,2.9,1.3
2013-09-29,18.5,8.4,4.5
2013-09-30,20.3,8.1,4.4
2013-10-01,19.3,7.4,4.6
2013-10-02,18.9,9.7,3.9
2013-10-03,16.4,8.3,3
2013-10-04,18.7,4.5,1.7
2013-10-05,19.3,6.2,3.1
2013-10-06,19.8,8.9,5.4
2013-10-07,21.3,5.5,2.7
2013-10-08,19.2,14.3,5.6
2013-10-09,17.9,12.9,6
2013-10-10,19.7,4.2,2.1
2013-10-11,19.4,10,5
2013-10-12,16.2,8,4.1
2013-10-13,17,5,2.1
2013-10-14,19.1,5.7,3.6
2013-10-15,12.6,15.6,10.1
2013-10-16,9.9,14.2,8.4
2013-10-17,12.2,5.6,1.5
2013-10-18,14.4,4,2.3
2013-10-19,15.7,6.6,3.8
2013-10-20,15.7,11,5.3
2013-10-21,13.8,13.5,7.9
2013-10-22,14.6,10.5,7.1
2013-10-23,15.3,8.3,5.3
2013-10-24,15.6,6.4,2.6
2013-10-25,12.6,7.4,4.4
2013-10-26,11.8,8.3,4.6
2013-10-27,14.2,5.5,2.5
2013-10-28,15.1,5.5,3.6
2013-10-29,16,5.4,2.7
2013-10-30,13.7,8.1,4.8
2013-10-31,13.2,5.6,2.1
2013-11-01,14.3,4.6,2.1
2013-11-02,16.4,6.1,3.3
2013-11-03,15.2,6.4,2.2
2013-11-04,12.3,8.3,5
2013-11-05,13.3,6.4,3.2
2013-11-06,15.3,10.1,6.2
2013-11-07,14.5,8.3,4.1
2013-11-08,10.8,7.3,4.1
2013-11-09,14.1,7.3,3.4
2013-11-10,10.5,14.3,5.3
2013-11-11,4,13.1,5.3
2013-11-12,4.9,8.1,3.9
2013-11-13,6.2,7.7,4
2013-11-14,11.1,7.2,4.2
2013-11-15,11.1,4.5,1.6
2013-11-16,10.4,4.7,2.1
2013-11-17,9.6,9.2,5.9
2013-11-18,3.6,10.8,5.6
2013-11-19,3.4,7.5,3.7
2013-11-20,4.8,5,2.1
2013-11-21,6.3,3.7,1.5
2013-11-22,7.5,5,1.7
2013-11-23,9.4,5.2,2.2
2013-11-24,11.5,3.8,2.2
2013-11-25,9.8,15.5,9.3
2013-11-26,4.7,9.1,5.8
